날짜,PM10_1,PM10_2,PM25_1,PM25_2,O3_1,O3_2,NO2_1,NO2_2,CO_1,Co_2,SO2_1,SO2_2
2021-04-16:09,보통,34,보통,16,좋음,0.030,보통,0.038,좋음,0.5,좋음,0.002
2021-04-16:08,보통,31,좋음,14,좋음,0.028,보통,0.037,좋음,0.4,좋음,0.003
2021-04-16:07,보통,36,보통,17,보통,0.032,보통,0.033,좋음,0.4,좋음,0.003
2021-04-16:06,보통,33,보통,16,보통,0.033,좋음,0.030,좋음,0.4,좋음,0.003
2021-04-16:05,보통,32,좋음,15,보통,0.040,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-16:04,보통,32,좋음,14,보통,0.039,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-16:03,보통,38,보통,16,보통,0.036,좋음,0.023,좋음,0.4,좋음,0.003
2021-04-16:02,보통,37,좋음,15,좋음,0.016,보통,0.045,좋음,0.5,좋음,0.003
2021-04-16:01,보통,41,보통,17,좋음,0.003,보통,0.058,좋음,0.5,좋음,0.002
2021-04-15:24,보통,43,좋음,15,좋음,0.003,보통,0.060,좋음,0.6,좋음,0.003
2021-04-15:23,보통,46,보통,20,좋음,0.015,보통,0.048,좋음,0.5,좋음,0.003
2021-04-15:22,보통,45,보통,17,좋음,0.025,보통,0.037,좋음,0.4,좋음,0.003
2021-04-15:21,보통,49,좋음,14,보통,0.033,보통,0.031,좋음,0.4,좋음,0.003
2021-04-15:20,보통,47,보통,17,보통,0.045,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-15:19,보통,55,보통,23,보통,0.053,좋음,0.028,좋음,0.4,좋음,0.003
2021-04-15:18,보통,58,보통,24,보통,0.062,좋음,0.027,좋음,0.4,좋음,0.004
2021-04-15:17,보통,69,보통,30,보통,0.070,좋음,0.026,좋음,0.4,좋음,0.004
2021-04-15:16,보통,59,보통,28,보통,0.066,좋음,0.026,좋음,0.4,좋음,0.004
2021-04-15:15,보통,55,보통,26,보통,0.053,좋음,0.024,좋음,0.4,좋음,0.004
2021-04-15:14,보통,54,보통,27,보통,0.047,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-15:13,보통,64,보통,35,보통,0.040,보통,0.033,좋음,0.5,좋음,0.003
2021-04-15:12,보통,59,보통,33,보통,0.040,보통,0.031,좋음,0.5,좋음,0.004
2021-04-15:11,보통,61,보통,31,보통,0.038,보통,0.032,좋음,0.5,좋음,0.003
2021-04-15:10,보통,55,보통,30,보통,0.032,보통,0.033,좋음,0.5,좋음,0.003
2021-04-15:09,보통,57,보통,35,좋음,0.026,보통,0.037,좋음,0.5,좋음,0.003
2021-04-15:08,보통,53,보통,32,좋음,0.027,보통,0.035,좋음,0.4,좋음,0.003
2021-04-15:07,보통,53,보통,31,좋음,0.016,보통,0.040,좋음,0.4,좋음,0.002
2021-04-15:06,보통,46,보통,26,좋음,0.028,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-15:05,보통,48,보통,26,보통,0.034,좋음,0.020,좋음,0.4,좋음,0.002
2021-04-15:04,보통,43,보통,22,보통,0.037,좋음,0.017,좋음,0.4,좋음,0.002
2021-04-15:03,보통,42,보통,24,보통,0.037,좋음,0.018,좋음,0.4,좋음,0.002
2021-04-15:02,보통,39,보통,19,보통,0.042,좋음,0.017,좋음,0.4,좋음,0.003
2021-04-15:01,보통,41,보통,19,보통,0.042,좋음,0.018,좋음,0.4,좋음,0.002
2021-04-14:24,보통,37,보통,19,보통,0.039,좋음,0.021,좋음,0.4,좋음,0.002
2021-04-14:23,보통,39,보통,21,보통,0.034,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-14:22,보통,39,보통,20,보통,0.038,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-14:21,보통,40,보통,20,보통,0.037,좋음,0.026,좋음,0.4,좋음,0.002
2021-04-14:20,보통,37,보통,17,보통,0.039,좋음,0.027,좋음,0.4,좋음,0.003
2021-04-14:19,보통,36,보통,16,보통,0.043,좋음,0.021,좋음,0.3,좋음,0.002
2021-04-14:18,보통,33,좋음,14,보통,0.047,좋음,0.019,좋음,0.3,좋음,0.003
2021-04-14:17,보통,34,좋음,15,보통,0.047,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-14:16,보통,32,좋음,13,보통,0.046,좋음,0.016,좋음,0.3,좋음,0.003
2021-04-14:15,보통,32,보통,16,보통,0.048,좋음,0.012,좋음,0.3,좋음,0.003
2021-04-14:14,보통,32,좋음,14,보통,0.045,좋음,0.012,좋음,0.3,좋음,0.003
2021-04-14:13,보통,35,좋음,14,보통,0.041,좋음,0.014,좋음,0.3,좋음,0.003
2021-04-14:12,좋음,23,좋음,12,보통,0.034,좋음,0.017,좋음,0.3,좋음,0.002
